           #Time            Temp             Kin       Potencial           E_tot        Pressure
  0.10429983E+00  0.30040095E+03  0.37465076E+01  0.90444915E+00  0.46509568E+01  0.20538599E+09
  0.10503955E+00  0.30050513E+03  0.37478070E+01  0.87884922E+00  0.46266562E+01  0.20538599E+09
  0.10577926E+00  0.30264431E+03  0.37744862E+01  0.86483766E+00  0.46393238E+01  0.20538599E+09
  0.10651898E+00  0.29509514E+03  0.36803352E+01  0.89000272E+00  0.45703380E+01  0.20538599E+09
  0.10725869E+00  0.29475407E+03  0.36760815E+01  0.85256302E+00  0.45286445E+01  0.20538599E+09
  0.10799841E+00  0.29825319E+03  0.37197215E+01  0.87957882E+00  0.45993003E+01  0.20538599E+09
  0.10873812E+00  0.29741280E+03  0.37092405E+01  0.90546381E+00  0.46147043E+01  0.20538599E+09
  0.10947784E+00  0.30178097E+03  0.37637189E+01  0.88653700E+00  0.46502559E+01  0.20538599E+09
  0.11021756E+00  0.29941728E+03  0.37342397E+01  0.89689981E+00  0.46311395E+01  0.20538599E+09
  0.11095727E+00  0.29390668E+03  0.36655132E+01  0.87923952E+00  0.45447527E+01  0.20538599E+09
  0.11169699E+00  0.29378029E+03  0.36639369E+01  0.88172581E+00  0.45456627E+01  0.20538599E+09
  0.11243670E+00  0.30390282E+03  0.37901820E+01  0.85274495E+00  0.46429269E+01  0.20538599E+09
  0.11317642E+00  0.30757169E+03  0.38359389E+01  0.90209987E+00  0.47380388E+01  0.20538599E+09
  0.11391613E+00  0.29591723E+03  0.36905881E+01  0.89297196E+00  0.45835600E+01  0.20538599E+09
  0.11465585E+00  0.29510076E+03  0.36804053E+01  0.86752283E+00  0.45479282E+01  0.20538599E+09
  0.11539556E+00  0.30590468E+03  0.38151486E+01  0.88486340E+00  0.47000120E+01  0.20538599E+09
  0.11613528E+00  0.30073117E+03  0.37506261E+01  0.89149970E+00  0.46421258E+01  0.20538599E+09
  0.11687499E+00  0.29957205E+03  0.37361699E+01  0.88390993E+00  0.46200798E+01  0.20538599E+09
  0.11761471E+00  0.29874271E+03  0.37258266E+01  0.84921655E+00  0.45750432E+01  0.20538599E+09
  0.11835442E+00  0.29538672E+03  0.36839717E+01  0.86922014E+00  0.45531919E+01  0.20538599E+09
  0.11909414E+00  0.30321893E+03  0.37816527E+01  0.86283478E+00  0.46444875E+01  0.20538599E+09
  0.11983385E+00  0.29413745E+03  0.36683912E+01  0.86162608E+00  0.45300173E+01  0.20538599E+09
  0.12057357E+00  0.29647884E+03  0.36975924E+01  0.89056935E+00  0.45881617E+01  0.20538599E+09
  0.12131328E+00  0.30569034E+03  0.38124753E+01  0.91989777E+00  0.47323731E+01  0.20538599E+09
  0.12205300E+00  0.29696442E+03  0.37036483E+01  0.87880299E+00  0.45824513E+01  0.20538599E+09
  0.12279271E+00  0.30294342E+03  0.37782166E+01  0.89654928E+00  0.46747659E+01  0.20538599E+09
  0.12353243E+00  0.30284186E+03  0.37769499E+01  0.89075765E+00  0.46677076E+01  0.20538599E+09
  0.12427214E+00  0.30930344E+03  0.38575368E+01  0.91054826E+00  0.47680851E+01  0.20538599E+09
  0.12501186E+00  0.30027480E+03  0.37449344E+01  0.88128997E+00  0.46262243E+01  0.20538599E+09
  0.12575157E+00  0.29492008E+03  0.36781520E+01  0.87027272E+00  0.45484248E+01  0.20538599E+09
  0.12649129E+00  0.29751559E+03  0.37105224E+01  0.85537644E+00  0.45658989E+01  0.20538599E+09
  0.12723100E+00  0.30009196E+03  0.37426540E+01  0.84897851E+00  0.45916325E+01  0.20538599E+09
  0.12797072E+00  0.29877569E+03  0.37262379E+01  0.88607612E+00  0.46123141E+01  0.20538599E+09
  0.12871043E+00  0.30044371E+03  0.37470409E+01  0.85986676E+00  0.46069077E+01  0.20538599E+09
  0.12945015E+00  0.29709718E+03  0.37053041E+01  0.82484640E+00  0.45301505E+01  0.20538599E+09
  0.13018986E+00  0.29820979E+03  0.37191802E+01  0.89145881E+00  0.46106390E+01  0.20538599E+09
  0.13092958E+00  0.28365471E+03  0.35376538E+01  0.86242209E+00  0.44000759E+01  0.20538599E+09
  0.13166929E+00  0.30452588E+03  0.37979525E+01  0.86638762E+00  0.46643401E+01  0.20538599E+09
  0.13240901E+00  0.30270437E+03  0.37752352E+01  0.88456836E+00  0.46598035E+01  0.20538599E+09
  0.13314872E+00  0.29451534E+03  0.36731042E+01  0.84606005E+00  0.45191642E+01  0.20538599E+09
  0.13388844E+00  0.30005877E+03  0.37422401E+01  0.86010640E+00  0.46023465E+01  0.20538599E+09
  0.13462815E+00  0.29771967E+03  0.37130675E+01  0.83937875E+00  0.45524463E+01  0.20538599E+09
  0.13536787E+00  0.30372991E+03  0.37880255E+01  0.87389741E+00  0.46619229E+01  0.20538599E+09
  0.13610758E+00  0.29848695E+03  0.37226369E+01  0.85841620E+00  0.45810531E+01  0.20538599E+09
  0.13684730E+00  0.29496046E+03  0.36786555E+01  0.84551245E+00  0.45241680E+01  0.20538599E+09
  0.13758702E+00  0.30570345E+03  0.38126388E+01  0.84373868E+00  0.46563775E+01  0.20538599E+09
  0.13832673E+00  0.30118914E+03  0.37563378E+01  0.84830782E+00  0.46046456E+01  0.20538599E+09
  0.13906645E+00  0.29671720E+03  0.37005651E+01  0.83928720E+00  0.45398523E+01  0.20538599E+09
  0.13980616E+00  0.30098039E+03  0.37537343E+01  0.84751938E+00  0.46012536E+01  0.20538599E+09
  0.14054588E+00  0.29913827E+03  0.37307599E+01  0.84690529E+00  0.45776652E+01  0.20538599E+09
  0.14128559E+00  0.30647892E+03  0.38223102E+01  0.87019846E+00  0.46925087E+01  0.20538599E+09
  0.14202531E+00  0.30335951E+03  0.37834060E+01  0.86980153E+00  0.46532075E+01  0.20538599E+09
  0.14276502E+00  0.30328566E+03  0.37824849E+01  0.84575883E+00  0.46282438E+01  0.20538599E+09
  0.14350474E+00  0.29831038E+03  0.37204347E+01  0.87329220E+00  0.45937269E+01  0.20538599E+09
  0.14424445E+00  0.29538373E+03  0.36839345E+01  0.86565621E+00  0.45495907E+01  0.20538599E+09
  0.14498417E+00  0.30165991E+03  0.37622091E+01  0.86655265E+00  0.46287617E+01  0.20538599E+09
  0.14572388E+00  0.29755763E+03  0.37110467E+01  0.85917118E+00  0.45702178E+01  0.20538599E+09
  0.14646360E+00  0.30211695E+03  0.37679090E+01  0.89494363E+00  0.46628527E+01  0.20538599E+09
  0.14720331E+00  0.30278655E+03  0.37762601E+01  0.84587901E+00  0.46221392E+01  0.20538599E+09
  0.14794303E+00  0.29575938E+03  0.36886194E+01  0.81931186E+00  0.45079313E+01  0.20538599E+09
  0.14868274E+00  0.29606972E+03  0.36924899E+01  0.81211180E+00  0.45046017E+01  0.20538599E+09
  0.14942246E+00  0.30003059E+03  0.37418886E+01  0.83973383E+00  0.45816224E+01  0.20538599E+09
  0.15016217E+00  0.29706857E+03  0.37049473E+01  0.81812342E+00  0.45230707E+01  0.20538599E+09
  0.15090189E+00  0.30635339E+03  0.38207446E+01  0.83701086E+00  0.46577555E+01  0.20538599E+09
